id,location,title
1,muir_woods_up.jpg,A Look Up at Redwoods in Muir Woods
2,monterey_boats.jpg,"Rowboats in Monterery, California"
3,milan_window.jpg,"Milan, Through a Window"
4,cologne_train_station.jpg,"The Köln Train Station, Germany"
5,london_fireworks.jpg,New Years Fireworks over the London Eye
6,inch_beach_sunrise.jpg,"Sunrise Over Inch Beach, Florida"
7,milky_way.jpg,"The Milky Way, Oregon"
8,oregon_multnomah_falls.jpg,"Multnomah Falls, Portland Oregon"
9,neuschwanstein.jpg,Neuschwanstein Castle in Winter
10,silverado_window.jpg,"The Vineyards of Napa Valley, California"
11,venice_canal.jpg,A Venetian Canal
12,oregon_high_plains.jpg,The Oregonian High Plains
13,sepia_balloons.jpg,Green Balloons on a Boston Spring Night
14,hippiedigger.jpg,A Beautiful Gin Cocktail
15,sunset_grill.jpg,"Sunset and the 7 Mile Bridge, Florida"
16,venetian_masks.jpg,"A Collection of Venetian Masks, Italy"
17,amsterdam_canal_winter.jpg,A Wintery Amsterdam Canal
18,cali_bottles_table.jpg,Colorful Bottles on Northern Californian Table
19,lugano_lake.jpg,"Lake Lugano, Switzerland"
20,montana_glaciers.jpg,The Montana Glaciers
21,maine_beach.jpg,A Frozen Beach in Maine
22,milan_building.jpg,A Beautiful Milan Apartment Building
23,montana_lake.jpg,A Montana Glacial Lake
24,montana_river_mountains.jpg,"The Raging Haystack Creek Towards McDonald Lake, Glacier Montana"
25,boston_sunrise_2.jpg,A Boston Sunrise over the Charles River
26,grand_canyon_sunrise.jpg,The Grand Canyon During a March Sunrise
27,hawaii_black_sand.jpg,"Pololu Valley, Kohala Forest, Big Island Hawai'i"
28,eiffel_tower.jpg,The Eiffel Tower at Night
29,landschaftspark_sunset.jpg,"Landschaftspark at Sunset, Germany"
30,silverado_wine.jpg,A Day of Comtemplation and Wine
31,germany_vines.jpg,The Vineyards of Western Germany
32,amsterdam_night.jpg,Nightime on Amsterdam Canals
33,dachau_ovens.jpg,The Ovens of Dachau Concentration Camp
34,recife_beach.jpg,"The Placid Recife Beach, Brazil"
35,appalachian_trail_dream.jpg,A Look Down the Appalachian Trail in Pennsylvania
36,golden_gate_pano_sausalito.jpg,The Golden Gate Bridge and San Francisco
37,ich_liebe.jpg,"Liebe Ist... (Love is...), Landschaftspark, Germany"
38,mit_night.jpg,MIT Big Dome at Night
39,appalachian_trail_wide.jpg,"The Appalachian Trail, Pennsylvania"
40,sunset_beach_docks.jpg,"Sunset Behind the Docks of Sunset Beach, Florida"
41,golden_gate_sf.jpg,The Golden Gate Bridge
42,cali_coast.jpg,The Northern California Coast
43,cali_coast_marina.jpg,A NorCal Marina
44,sunset_beach.jpg,"'The Clouds are a Canvas, on which the Sun Paints' Sunset Beach, Florida"
45,brazil_boat.jpg,A Brazilian Sailboat
46,eclipse.jpg,The 2017 Oregon Eclipse
47,vineyard_brick.jpg,"Brick of a Vineyard Castle, Napa California"
48,sunset_beach_palms.jpg,A Colorful Sunset Behind Floridian Palms
49,montana_pano.jpg,A Panoramic of Montana Landscape
